epoch #,train,test
265,0.117192,0.413640
266,0.130354,0.413782
267,0.109321,0.413756
268,0.122066,0.414152
269,0.116564,0.414987
270,0.128125,0.413948
271,0.116294,0.415986
272,0.126877,0.416693
273,0.122858,0.415727
274,0.110099,0.416656
275,0.117562,0.416933
276,0.128162,0.416152
277,0.115336,0.415093
278,0.117815,0.416240
279,0.121454,0.414551
280,0.125304,0.414725
281,0.113221,0.415164
282,0.126129,0.414281
283,0.119154,0.415038
284,0.120824,0.413837
285,0.116967,0.412457
286,0.115745,0.412874
287,0.119860,0.412422
288,0.122479,0.414165
289,0.109997,0.414065
290,0.115256,0.414588
291,0.112193,0.413476
292,0.110764,0.415576
293,0.121053,0.414569
294,0.114601,0.414080
295,0.129197,0.412376
296,0.108499,0.413636
297,0.123901,0.412223
298,0.118942,0.413408
299,0.113999,0.412962
300,0.119921,0.412869
301,0.119778,0.412696
302,0.119906,0.412685
303,0.116840,0.412698
304,0.126354,0.412581
305,0.120589,0.412650
306,0.121094,0.412703
307,0.109818,0.412911
308,0.125488,0.413082
309,0.112966,0.412998
310,0.116568,0.412887
311,0.114362,0.412992
312,0.122648,0.412820
313,0.111645,0.412780
314,0.115343,0.412938
315,0.115162,0.413083
316,0.119863,0.413013
317,0.126527,0.413016
318,0.117684,0.412893
319,0.111248,0.412928
320,0.117255,0.412946
321,0.126058,0.412722
322,0.109301,0.412649
323,0.119423,0.412576
324,0.120501,0.412580
325,0.117390,0.412597
326,0.116026,0.412561
327,0.115735,0.412613
328,0.118695,0.412551
329,0.124419,0.412798
330,0.114380,0.412724
331,0.120080,0.412631
332,0.113802,0.412589
333,0.116654,0.412408
334,0.120350,0.412513
335,0.112980,0.412555
336,0.117443,0.412532
337,0.112656,0.412679
338,0.121449,0.412670
339,0.119595,0.412831
340,0.113022,0.412740
341,0.112760,0.412829
342,0.118868,0.412968
343,0.123755,0.413053
344,0.121820,0.412982
345,0.121421,0.413028
346,0.117309,0.412922
347,0.120615,0.412948
348,0.118839,0.412985
349,0.118254,0.412802
350,0.114261,0.412703
351,0.117532,0.412767
352,0.113392,0.412710
353,0.126572,0.412564
354,0.113992,0.412534
355,0.122152,0.412433
356,0.117807,0.412491
357,0.125940,0.412491
358,0.114713,0.412525
359,0.115176,0.412475
360,0.115689,0.412584
361,0.111462,0.412527
362,0.106507,0.412754
363,0.119203,0.412807
364,0.112391,0.412842
365,0.114996,0.412914
366,0.110987,0.412965
367,0.124051,0.412943
368,0.116332,0.412981
369,0.114861,0.412863
370,0.123638,0.412787
371,0.113223,0.412825
372,0.114872,0.412844
373,0.114466,0.412920
374,0.116522,0.412761
375,0.122653,0.412834
376,0.125702,0.412686
377,0.110886,0.412761
378,0.120950,0.412776
379,0.115056,0.412799
380,0.115968,0.412830
381,0.113305,0.412895
382,0.125992,0.412843
383,0.117012,0.412812
384,0.129242,0.412798
385,0.111889,0.412852
386,0.116673,0.412992
387,0.108685,0.413008
388,0.111527,0.413119
389,0.126853,0.413062
390,0.126090,0.412938
391,0.114747,0.412885
392,0.117749,0.412900
393,0.118773,0.412850
394,0.115671,0.412945
395,0.118636,0.413012
396,0.118400,0.412927
397,0.128109,0.413000
398,0.121890,0.412832
399,0.127445,0.412767
