epoch #,train,test
176,95.829799,91.450216
177,95.646028,91.558442
178,95.335030,91.504329
179,95.617755,91.179654
180,95.801527,91.233766
181,95.603619,91.071429
182,95.335030,91.341991
183,95.942889,91.341991
184,95.646028,91.071429
185,95.886344,91.179654
186,95.886344,91.233766
187,95.462256,91.233766
188,95.660164,90.746753
189,95.617755,91.125541
190,95.815663,91.450216
191,95.476392,91.233766
192,95.547074,91.341991
193,95.942889,91.287879
194,95.193667,91.341991
195,95.829799,91.071429
196,95.603619,91.125541
197,95.759118,91.179654
198,95.716709,91.396104
199,95.631891,91.125541
200,96.154934,91.341991
201,95.957026,91.450216
202,95.886344,91.287879
203,95.730845,91.233766
204,95.886344,91.233766
205,95.900481,91.450216
206,95.928753,91.396104
207,96.055980,91.341991
208,95.688437,91.341991
209,95.815663,91.396104
210,95.575346,91.341991
211,95.886344,91.233766
212,95.773254,91.287879
213,95.674300,91.396104
214,95.942889,91.341991
215,95.815663,91.287879
216,95.561210,91.287879
217,95.617755,91.450216
218,95.589483,91.450216
219,95.843936,91.341991
220,96.084252,91.450216
221,95.744982,91.341991
222,95.886344,91.341991
223,95.858072,91.396104
224,95.872208,91.341991
225,96.183206,91.396104
226,95.971162,91.341991
227,95.872208,91.396104
228,95.999435,91.396104
229,95.433984,91.233766
230,95.957026,91.287879
231,95.928753,91.287879
232,95.547074,91.341991
233,95.914617,91.341991
234,96.098388,91.287879
235,95.829799,91.450216
236,95.631891,91.450216
237,95.773254,91.396104
238,95.999435,91.396104
239,95.702573,91.504329
240,96.027707,91.396104
241,95.843936,91.450216
242,95.985298,91.341991
243,95.858072,91.341991
244,96.338705,91.341991
245,95.886344,91.287879
246,96.183206,91.287879
247,95.716709,91.396104
248,95.914617,91.341991
249,96.013571,91.287879
250,96.027707,91.341991
251,95.999435,91.287879
252,96.112525,91.341991
253,95.928753,91.341991
254,95.942889,91.504329
255,95.914617,91.396104
256,96.041843,91.341991
257,95.858072,91.287879
258,96.070116,91.287879
259,96.084252,91.287879
260,95.985298,91.287879
261,96.239751,91.341991
262,95.971162,91.341991
263,95.688437,91.341991
264,95.716709,91.396104
265,95.787390,91.396104
266,95.744982,91.396104
267,96.154934,91.396104
268,95.744982,91.341991
269,96.013571,91.287879
270,95.858072,91.341991
271,95.829799,91.341991
272,95.744982,91.287879
273,95.815663,91.287879
274,96.409386,91.233766
275,95.886344,91.341991
276,95.532938,91.341991
277,95.914617,91.396104
278,95.773254,91.287879
279,95.914617,91.341991
280,95.674300,91.396104
281,95.872208,91.396104
282,95.716709,91.341991
283,95.914617,91.287879
284,96.098388,91.179654
285,95.858072,91.341991
286,95.843936,91.341991
287,95.759118,91.504329
288,95.773254,91.341991
289,96.211479,91.341991
290,96.154934,91.233766
291,96.084252,91.287879
292,96.268024,91.179654
293,95.999435,91.233766
294,96.084252,91.396104
295,95.419847,91.341991
296,96.098388,91.396104
297,96.070116,91.396104
298,95.744982,91.396104
299,96.282160,91.450216
300,95.914617,91.450216
301,95.801527,91.450216
302,95.872208,91.450216
303,95.985298,91.450216
304,95.433984,91.450216
305,95.815663,91.450216
306,95.773254,91.504329
307,96.253887,91.504329
308,95.547074,91.504329
309,96.013571,91.450216
310,96.027707,91.504329
311,96.310433,91.504329
312,95.744982,91.504329
313,95.985298,91.504329
314,96.225615,91.504329
315,95.872208,91.504329
316,95.730845,91.504329
317,95.759118,91.504329
318,95.801527,91.504329
319,96.268024,91.504329
320,95.914617,91.396104
321,95.589483,91.396104
322,96.055980,91.450216
323,95.787390,91.450216
324,95.575346,91.450216
325,96.041843,91.396104
326,96.041843,91.450216
327,96.098388,91.396104
328,95.702573,91.396104
329,95.504665,91.450216
330,95.900481,91.450216
331,95.744982,91.450216
332,96.126661,91.504329
333,95.942889,91.450216
334,96.183206,91.504329
335,96.239751,91.504329
336,95.843936,91.504329
337,96.055980,91.504329
338,95.858072,91.504329
339,95.957026,91.504329
340,96.098388,91.504329
341,95.787390,91.504329
342,96.055980,91.504329
343,95.928753,91.504329
344,95.547074,91.504329
345,95.688437,91.504329
346,95.971162,91.504329
347,95.985298,91.504329
348,95.858072,91.504329
349,95.957026,91.504329
350,96.041843,91.504329
351,95.886344,91.504329
352,95.942889,91.504329
353,95.971162,91.504329
354,96.126661,91.504329
355,95.815663,91.504329
356,95.801527,91.504329
357,95.759118,91.504329
358,96.211479,91.504329
359,96.013571,91.504329
360,95.942889,91.504329
361,96.395250,91.504329
362,96.253887,91.504329
363,95.843936,91.504329
364,96.013571,91.504329
365,95.999435,91.504329
366,96.239751,91.504329
367,95.872208,91.504329
368,96.027707,91.504329
369,96.084252,91.504329
370,95.999435,91.504329
371,95.957026,91.504329
372,95.957026,91.504329
373,96.183206,91.504329
374,95.999435,91.504329
375,95.589483,91.504329
376,95.702573,91.504329
377,96.338705,91.504329
378,95.759118,91.504329
379,95.900481,91.504329
380,95.971162,91.504329
381,95.971162,91.504329
382,95.773254,91.504329
383,95.999435,91.504329
384,95.589483,91.504329
385,96.041843,91.504329
386,96.183206,91.450216
387,96.055980,91.504329
388,95.900481,91.504329
389,95.999435,91.504329
390,95.985298,91.504329
391,95.773254,91.450216
392,96.169070,91.504329
393,95.759118,91.504329
394,95.759118,91.504329
395,95.773254,91.504329
396,95.858072,91.504329
397,95.716709,91.504329
398,95.928753,91.504329
399,95.419847,91.504329
